nat,age,gender,gendComments,race,raceComments,region,genComments,uniqueIdentifier,experimentName,payment,audio,yesno,proficiency,relatability,believability,comment
Y,20s,F,,ASI,,SO,,6.60983E+14,testimonials-pilot,none,TOM-2nd-NOH,response=Yes,100,81,100,
Y,20s,F,,ASI,,SO,,6.60983E+14,testimonials-pilot,none,ANN-1st-HES,response=Yes,55,41,66,
Y,20s,F,,ASI,,SO,,6.60983E+14,testimonials-pilot,none,IRM-catch-0YES,response=Yes,0,0,0,
Y,20s,F,,ASI,,SO,,6.60983E+14,testimonials-pilot,none,IRM-catch-100NO,response=No,100,100,100,
Y,20s,F,,ASI,,SO,,6.60983E+14,testimonials-pilot,none,JOS-2nd-HES,response=Yes,68,56,90,
Y,20s,F,,ASI,,SO,,6.60983E+14,testimonials-pilot,none,SER-1st-NOH,response=Yes,100,88,100,
Y,20s,F,,AFR,,MW,,2.30053E+14,testimonials-pilot,none,JOS-1st-NOH,response=Yes,54,100,40,
Y,20s,F,,AFR,,MW,,2.30053E+14,testimonials-pilot,none,IRM-catch-0YES,response=Yes,0,0,0,
Y,20s,F,,AFR,,MW,,2.30053E+14,testimonials-pilot,none,IRM-catch-100NO,response=No,100,100,100,
Y,20s,F,,AFR,,MW,,2.30053E+14,testimonials-pilot,none,TOM-2nd-HES,response=No,39,100,32,
Y,20s,F,,AFR,,MW,,2.30053E+14,testimonials-pilot,none,SER-1st-HES,response=Yes,70,65,53,
Y,20s,F,,AFR,,MW,,2.30053E+14,testimonials-pilot,none,ANN-2nd-NOH,response=Yes,100,100,100,
Y,20s,M,,ASI,,NE,,8.24356E+14,testimonials-pilot,none,TOM-1st-HES,response=Yes,65,51,66,
Y,20s,M,,ASI,,NE,,8.24356E+14,testimonials-pilot,none,IRM-catch-0YES,response=Yes,0,0,0,
Y,20s,M,,ASI,,NE,,8.24356E+14,testimonials-pilot,none,SER-2nd-HES,response=Yes,54,53,42,
Y,20s,M,,ASI,,NE,,8.24356E+14,testimonials-pilot,none,ANN-1st-NOH,response=No,71,73,66,
Y,20s,M,,ASI,,NE,,8.24356E+14,testimonials-pilot,none,JOS-2nd-NOH,response=No,64,63,42,
Y,20s,M,,ASI,,NE,,8.24356E+14,testimonials-pilot,none,IRM-catch-100NO,response=No,100,100,100,
Y,20s,F,,OTH,Asian (not American),nonUS,,6.12568E+14,testimonials-pilot,none,SER-2nd-HES,response=Yes,22,28,67,
Y,20s,F,,OTH,Asian (not American),nonUS,,6.12568E+14,testimonials-pilot,none,ANN-1st-NOH,response=Yes,70,80,80,
Y,20s,F,,OTH,Asian (not American),nonUS,,6.12568E+14,testimonials-pilot,none,TOM-1st-HES,response=No,46,43,31,
Y,20s,F,,OTH,Asian (not American),nonUS,,6.12568E+14,testimonials-pilot,none,JOS-2nd-NOH,response=Yes,86,72,89,
Y,20s,F,,OTH,Asian (not American),nonUS,,6.12568E+14,testimonials-pilot,none,IRM-catch-0YES,response=Yes,0,0,0,
Y,20s,F,,OTH,Asian (not American),nonUS,,6.12568E+14,testimonials-pilot,none,IRM-catch-100NO,response=No,100,100,100,
Y,20s,M,,AFR,,SO,,4.98166E+14,testimonials-pilot,none,TOM-2nd-NOH,response=Yes,100,75,80,
Y,20s,M,,AFR,,SO,,4.98166E+14,testimonials-pilot,none,IRM-catch-100NO,response=No,100,100,100,
Y,20s,M,,AFR,,SO,,4.98166E+14,testimonials-pilot,none,ANN-1st-HES,response=No,85,100,35,This one is tricky at first it is wholesome but it sounds like mal intent at the end to beat the system. If the U.S. allowed them to stay based upon the fact she has kids it sets a precedent that all you have to do is have kids in the US to have access. My heart wants to say yes but it wouldn't be fair to the people who want permanent residence and do it the right way.
Y,20s,M,,AFR,,SO,,4.98166E+14,testimonials-pilot,none,IRM-catch-0YES,response=Yes,0,0,0,
Y,20s,M,,AFR,,SO,,4.98166E+14,testimonials-pilot,none,SER-1st-NOH,response=Yes,100,100,100,
Y,20s,M,,AFR,,SO,,4.98166E+14,testimonials-pilot,none,JOS-2nd-HES,response=Yes,90,100,85,
Y,20s,F,,CAU,,WE,,5.24387E+14,testimonials-pilot,none,SER-1st-NOH,response=Yes,100,100,100,
Y,20s,F,,CAU,,WE,,5.24387E+14,testimonials-pilot,none,ANN-1st-HES,response=Yes,75,91,84,
Y,20s,F,,CAU,,WE,,5.24387E+14,testimonials-pilot,none,IRM-catch-0YES,response=Yes,0,0,0,
Y,20s,F,,CAU,,WE,,5.24387E+14,testimonials-pilot,none,IRM-catch-100NO,response=No,100,100,100,
Y,20s,F,,CAU,,WE,,5.24387E+14,testimonials-pilot,none,JOS-2nd-HES,response=Yes,87,85,72,
Y,20s,F,,CAU,,WE,,5.24387E+14,testimonials-pilot,none,TOM-2nd-NOH,response=Yes,81,83,80,i wonder if there is an order effect- i heard the most competent speaker first and that heightened my standards for the following tapes
Y,20s,F,,AFR,,MA,,1.13226E+13,testimonials-pilot,none,IRM-catch-0YES,response=Yes,0,0,0,
Y,20s,F,,AFR,,MA,,1.13226E+13,testimonials-pilot,none,IRM-catch-100NO,response=No,100,100,100,
